tip_x,tip_y,tip_position,crack_length,crack_area,ctod_10px,ctod_20px,ctod_30px,ctod_40px,ctod_50px,ctod,crack_width,tip_radius,frame
214.2,88.83,"(88.83, np.float64(214.2))",80.64,671.9517000000001,6.93,7.5600000000000005,9.45,9.45,9.45,7.5600000000000005,13.23,15.013324371749079,87
212.31,89.46,"(89.46, np.float64(212.31))",81.27,654.8850000000001,8.82,6.93,8.19,8.19,8.82,6.93,12.6,24.941257993220912,88
212.31,89.46,"(89.46, np.float64(212.31))",80.64,640.1997,8.19,7.5600000000000005,8.82,8.82,8.82,7.5600000000000005,13.86,16.496423018308665,89
212.31,89.46,"(89.46, np.float64(212.31))",83.79,729.5022,8.82,6.93,9.45,9.45,10.08,6.93,13.86,22.77282626657669,90
212.31,89.46,"(89.46, np.float64(212.31))",81.27,655.2819000000001,8.19,6.3,8.82,9.45,9.45,6.3,11.97,25.3413516427342,91
212.31,89.46,"(89.46, np.float64(212.31))",83.79,747.3627,8.82,7.5600000000000005,10.08,11.34,11.34,7.5600000000000005,15.120000000000001,25.51624924799604,92
212.94,88.83,"(88.83, np.float64(212.94))",82.53,666.3951000000001,7.5600000000000005,5.67,7.5600000000000005,8.82,10.08,5.67,13.86,25.446472410442258,93
212.94,89.46,"(89.46, np.float64(212.94))",81.9,677.5083000000001,7.5600000000000005,5.67,8.82,10.08,9.45,5.67,13.86,21.97978420125116,94
212.31,89.46,"(89.46, np.float64(212.31))",82.53,722.7549,8.82,6.93,9.45,9.45,9.45,6.93,13.23,24.68421373545003,95
212.31,88.83,"(88.83, np.float64(212.31))",81.27,654.4881,8.82,8.19,8.82,8.82,8.82,8.19,13.23,22.01212789027238,96
214.2,88.83,"(88.83, np.float64(214.2))",76.86,588.2058000000001,6.3,6.3,8.82,10.08,10.08,6.3,13.23,15.83590946125305,97
212.94,88.83,"(88.83, np.float64(212.94))",81.9,692.5905,8.82,7.5600000000000005,8.82,8.82,9.45,7.5600000000000005,12.6,26.401775346541964,98
212.94,88.83,"(88.83, np.float64(212.94))",80.01,654.4881,8.19,6.3,7.5600000000000005,8.19,9.45,6.3,13.23,22.615844676804695,99
212.94,88.2,"(88.2, np.float64(212.94))",82.53,675.1269000000001,7.5600000000000005,6.3,8.19,8.82,8.82,6.3,11.97,26.019345363935695,100
